Driver,Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,AverageSpeed,AvgSpeedGap,Year,GrandPrix
HUL,0 days 01:23:12.503695652,191.65217391304347,205.43478260869566,303.80434782608694,308.4130434782609,252.32608695652172,9.18148880105403,2019,Azerbaijan Grand Prix
KUB,0 days 01:21:19.442622222,189.42222222222222,204.48888888888888,298.0,304.2888888888889,249.04999999999998,12.457575757575768,2019,Azerbaijan Grand Prix
NOR,0 days 01:06:31.486166666,266.3333333333333,257.3888888888889,278.8888888888889,309.02777777777777,277.90972222222223,0.0,2019,Spanish Grand Prix
STR,0 days 01:06:14.798181818,263.8787878787879,251.06060606060606,276.90909090909093,307.6969696969697,274.8863636363637,3.0233585858585457,2019,Spanish Grand Prix
LEC,0 days 01:19:06.360153846,261.3269230769231,259.0,272.0576923076923,300.86538461538464,273.3125,4.5972222222222285,2019,Spanish Grand Prix
VET,0 days 01:21:15.033145833,258.9791666666667,256.5833333333333,268.5416666666667,299.1041666666667,270.80208333333337,7.107638888888857,2019,Spanish Grand Prix
RAI,0 days 01:21:52.727888888,261.75555555555553,250.24444444444444,271.0888888888889,298.3777777777778,270.3666666666667,7.543055555555554,2019,Spanish Grand Prix
ALB,0 days 01:22:58.194961538,263.5576923076923,250.09615384615384,270.13461538461536,296.86538461538464,270.16346153846155,7.746260683760681,2019,Spanish Grand Prix
SAI,0 days 01:20:48.017750,255.86363636363637,249.88636363636363,272.3636363636364,300.6363636363636,269.6875,8.222222222222229,2019,Spanish Grand Prix
KVY,0 days 01:25:56.182714285,253.21428571428572,250.8095238095238,267.76190476190476,301.5,268.32142857142856,9.588293650793673,2019,Spanish Grand Prix
RIC,0 days 01:23:46.290500,254.42,244.56,271.28,303.0,268.315,9.59472222222223,2019,Spanish Grand Prix
HUL,0 days 01:20:39.802666666,256.5438596491228,250.3859649122807,268.03508771929825,297.87719298245617,268.2105263157895,9.699195906432749,2019,Spanish Grand Prix
GIO,0 days 01:24:32.350945454,259.5090909090909,236.1818181818182,271.3818181818182,303.56363636363636,267.6590909090909,10.25063131313135,2019,Spanish Grand Prix
BOT,0 days 01:25:20.592260,260.32,248.92,267.86,291.94,267.26,10.649722222222238,2019,Spanish Grand Prix
GAS,0 days 01:21:24.070477272,257.34090909090907,250.52272727272728,264.6818181818182,290.84090909090907,265.8465909090909,12.06313131313135,2019,Spanish Grand Prix
VER,0 days 01:17:17.650878048,252.70731707317074,250.90243902439025,265.5365853658537,293.3658536585366,265.6280487804878,12.281673441734426,2019,Spanish Grand Prix
PER,0 days 01:18:44.960000,252.7872340425532,237.51063829787233,271.70212765957444,299.3404255319149,265.3351063829787,12.574615839243506,2019,Spanish Grand Prix
HAM,0 days 01:17:12.128750,256.0,243.88636363636363,264.47727272727275,286.34090909090907,262.6761363636364,15.233585858585855,2019,Spanish Grand Prix
MAG,0 days 01:17:32.703073170,254.34146341463415,240.78048780487805,263.6585365853659,290.3414634146341,262.280487804878,15.629234417344207,2019,Spanish Grand Prix
GRO,0 days 01:26:34.526658536,255.02439024390245,241.26829268292684,261.6341463414634,289.5365853658537,261.8658536585366,16.043868563685635,2019,Spanish Grand Prix
RUS,0 days 01:21:31.523196078,244.58823529411765,241.50980392156862,268.88235294117646,292.1372549019608,261.77941176470586,16.130310457516373,2019,Spanish Grand Prix
KUB,0 days 01:18:43.422531914,249.48936170212767,236.06382978723406,268.8936170212766,290.7659574468085,261.3031914893617,16.606530732860506,2019,Spanish Grand Prix
VET,0 days 01:23:54.534985074,193.1492537313433,188.83582089552237,263.8955223880597,282.2238805970149,232.02611940298505,0.0,2019,Monaco Grand Prix
NOR,0 days 01:26:35.429626865,199.28358208955223,183.9402985074627,259.3880597014925,281.1641791044776,230.9440298507463,1.082089552238756,2019,Monaco Grand Prix
VER,0 days 01:26:31.606971830,197.64788732394365,186.11267605633802,261.5492957746479,274.7887323943662,230.02464788732394,2.001471515661109,2019,Monaco Grand Prix
BOT,0 days 01:26:55.838929577,191.80281690140845,185.85915492957747,262.5774647887324,278.6056338028169,229.71126760563382,2.314851797351224,2019,Monaco Grand Prix
PER,0 days 01:25:55.842323943,189.3943661971831,182.83098591549296,263.1267605633803,281.07042253521126,229.1056338028169,2.920485600168149,2019,Monaco Grand Prix
KVY,0 days 01:27:08.427585714,195.17142857142858,184.7,257.87142857142857,278.4,229.03571428571428,2.990405117270768,2019,Monaco Grand Prix
SAI,0 days 01:25:33.382835820,192.044776119403,186.46268656716418,257.34328358208955,280.07462686567163,228.98134328358208,3.044776119402968,2019,Monaco Grand Prix
HAM,0 days 01:25:28.102042857,187.55714285714285,189.38571428571427,257.2142857142857,276.15714285714284,227.57857142857142,4.447547974413624,2019,Monaco Grand Prix
MAG,0 days 01:25:35.675056338,192.95774647887325,184.11267605633802,255.46478873239437,276.07042253521126,227.15140845070422,4.874710952280822,2019,Monaco Grand Prix
GAS,0 days 01:24:12.341415384,198.87692307692308,180.0,254.98461538461538,273.38461538461536,226.81153846153845,5.214580941446599,2019,Monaco Grand Prix
GIO,0 days 01:26:36.070985915,187.80281690140845,182.54929577464787,258.40845070422534,278.4366197183099,226.79929577464787,5.226823628337172,2019,Monaco Grand Prix
HUL,0 days 01:27:39.325420289,190.97101449275362,184.8695652173913,258.6521739130435,272.59420289855075,226.7717391304348,5.254380272550236,2019,Monaco Grand Prix
RUS,0 days 01:26:37.141000,189.88888888888889,183.04166666666666,259.19444444444446,274.8333333333333,226.73958333333331,5.286536069651731,2019,Monaco Grand Prix
STR,0 days 01:24:12.439426470,187.5,183.23529411764707,258.20588235294116,277.7352941176471,226.66911764705884,5.3570017559262055,2019,Monaco Grand Prix
RAI,0 days 01:25:24.337929577,186.57746478873239,181.9718309859155,259.9577464788732,277.2957746478873,226.45070422535213,5.5754151776329195,2019,Monaco Grand Prix
GRO,0 days 01:25:19.018685714,192.84285714285716,184.3,252.2,275.7,226.2607142857143,5.7654051172707454,2019,Monaco Grand Prix
RIC,0 days 01:26:59.691402985,188.62686567164178,183.3134328358209,257.25373134328356,274.7313432835821,225.98134328358208,6.044776119402968,2019,Monaco Grand Prix
ALB,0 days 01:25:38.483681159,183.82608695652175,182.85507246376812,254.1159420289855,279.2463768115942,225.01086956521738,7.015249837767669,2019,Monaco Grand Prix
KUB,0 days 01:26:38.838750,186.97222222222223,180.875,256.0833333333333,274.1666666666667,224.52430555555554,7.501813847429503,2019,Monaco Grand Prix
LEC,0 days 00:44:42.068692307,176.53846153846155,165.6153846153846,255.3846153846154,249.53846153846155,211.76923076923077,20.256888633754272,2019,Monaco Grand Prix
